,emkt,smb,hml,rf
200204,-5.2,5.94,3.93,0.15
200205,-1.38,-3.21,1.69,0.14
200206,-7.21,4.26,0.13,0.13
200207,-8.18,-5.3,-3.41,0.15
200208,0.5,-2.44,2.49,0.14
200209,-10.35,2.57,1.31,0.14
200210,7.84,-2.9,-5.46,0.14
200211,5.96,2.84,-1.15,0.12
200212,-5.76,0,2.25,0.11
200301,-2.57,1.39,-0.93,0.1
200302,-1.88,-0.34,-1.46,0.09
200303,1.09,0.89,-2.09,0.1
200304,8.22,0.57,1.03,0.1
200305,6.05,4.7,-0.3,0.09
200306,1.42,1.67,0.66,0.1
200307,2.35,5.25,-1.15,0.07
200308,2.34,2.6,2.03,0.07
200309,-1.24,0.79,0.02,0.08
200310,6.08,2.68,1.76,0.07
200311,1.35,2.01,1.86,0.07
200312,4.29,-3.01,2.42,0.08
200401,2.15,2.8,1.97,0.07
200402,1.4,-1.43,0.49,0.06
200403,-1.32,1.75,0.21,0.09
200404,-1.83,-2.06,-2.62,0.08
200405,1.17,-0.21,-0.39,0.06
200406,1.86,2.26,1.38,0.08
200407,-4.06,-3.8,4.1,0.1
200408,0.08,-1.63,1.03,0.11
200409,1.6,3.03,-0.25,0.11
200410,1.43,0.31,-0.62,0.11
200411,4.54,3.91,1.79,0.15
200412,3.43,0.12,-0.06,0.16
200501,-2.76,-1.51,1.97,0.16
200502,1.89,-0.51,1.63,0.16
200503,-1.97,-1.39,1.58,0.21
200504,-2.61,-3.99,-0.34,0.21
200505,3.65,2.89,-0.81,0.24
200506,0.57,2.62,2.62,0.23
200507,3.92,2.93,-0.51,0.24
200508,-1.22,-0.92,1.27,0.3
200509,0.49,-0.58,0.77,0.29
200510,-2.02,-1.21,0.23,0.27
200511,3.61,0.91,-1.18,0.31
200512,-0.25,-0.46,0.44,0.32
200601,3.04,5.42,1.12,0.35
200602,-0.3,-0.38,-0.25,0.34
200603,1.46,3.55,0.61,0.37
200604,0.73,-1.34,2.59,0.36
200605,-3.57,-3.04,2.55,0.43
200606,-0.35,-0.35,0.87,0.4
200607,-0.78,-4.08,2.94,0.4
200608,2.03,0.9,-1.72,0.42
200609,1.84,-1.37,0.05,0.41
200610,3.23,1.73,-0.04,0.41
200611,1.71,0.86,0.07,0.42
200612,0.87,-1.1,3.16,0.4
200701,1.4,0.1,-0.11,0.44
200702,-1.96,1.32,-0.09,0.38
200703,0.68,-0.06,-0.22,0.43
200704,3.49,-2.06,-1.15,0.44
200705,3.24,0.03,-0.05,0.41
200706,-1.96,0.77,-1.13,0.4
200707,-3.73,-2.51,-3.34,0.4
200708,0.92,-0.13,-2.24,0.42
200709,3.22,-2.29,-1.87,0.32
200710,1.8,0.22,-2.59,0.32
200711,-4.83,-2.63,-1.18,0.34
200712,-0.87,0.2,-0.52,0.27
200801,-6.36,-0.89,3.65,0.21
200802,-3.09,-0.23,-0.95,0.13
200803,-0.93,0.94,-0.15,0.17
200804,4.6,-1.64,-0.96,0.18
200805,1.86,3.22,-1.38,0.18
200806,-8.44,1.27,-2.43,0.17
200807,-0.77,2.47,5.81,0.15
200808,1.53,3.61,1.56,0.13
200809,-9.24,-1.13,6.33,0.15
200810,-17.23,-2.34,-2.9,0.08
200811,-7.86,-2.99,-5.94,0.03
200812,1.74,3.59,-0.24,0
200901,-8.12,-0.01,-11.1,0
200902,-10.1,0.16,-7.25,0.01
200903,8.95,-0.08,3.52,0.02
200904,10.19,4.83,5.46,0.01
200905,5.21,-2.33,-0.21,0
200906,0.43,2.61,-2.71,0.01
200907,7.72,2.07,5.27,0.01
200908,3.33,-0.9,7.76,0.01
200909,4.08,2.45,0.92,0.01
200910,-2.59,-4.23,-4.18,0
200911,5.56,-2.49,-0.17,0
200912,2.75,6.11,0.01,0.01
201001,-3.36,0.38,0.31,0
201002,3.4,1.21,3.17,0
201003,6.31,1.43,2.1,0.01
201004,2,4.98,2.81,0.01
201005,-7.89,0.05,-2.38,0.01
201006,-5.56,-1.98,-4.5,0.01
201007,6.93,0.17,-0.26,0.01
